1,O1,0,0,,
2,AP,,,,35,105,,
3,EU,,,,47,8,,
4,AD,,,,42.5,1.5,,
5,AE,,,,24,54,,
6,AF,,,,33,65,,
7,AG,,,,17.05,-61.8,,
8,AI,,,,18.25,-63.1667,,
9,AL,,,,41,20,,
10,AM,,,,40,45,,
11,AN,,,,12.25,-68.75,,
12,AO,,,,-12.5,18.5,,
13,AQ,,,,-90,0,,
14,AR,,,,-34,-64,,
15,AS,,,,-14.3333,-170,,
16,AT,,,,47.3333,13.3333,,
17,AU,,,,-27,133,,
18,AW,,,,12.5,-69.9667,,
19,AZ,,,,40.5,47.5,,
20,BA,,,,44,18,,
21,BB,,,,13.1667,-59.5333,,
22,BD,,,,24,90,,
23,BE,,,,50.8333,4,,
24,BF,,,,13,-2,,
25,BG,,,,43,25,,
26,BH,,,,26,50.55,,
27,BI,,,,-3.5,30,,
28,BJ,,,,9.5,2.25,,
29,BM,,,,32.3333,-64.75,,
30,BN,,,,4.5,114.6667,,
31,BO,,,,-17,-65,,
32,BR,,,,-10,-55,,
33,BS,,,,24.25,-76,,
34,BT,,,,27.5,90.5,,
35,BV,,,,-54.4333,3.4,,
36,BW,,,,-22,24,,
37,BY,,,,53,28,,
38,BZ,,,,17.25,-88.75,,
39,CA,,,,60,-95,,
40,CC,,,,-12.5,96.8333,,
41,CD,,,,0,25,,
42,CF,,,,7,21,,
43,CG,,,,-1,15,,
44,CH,,,,47,8,,
45,CI,,,,8,-5,,
46,CK,,,,-21.2333,-159.7667,,
47,CL,,,,-30,-71,,
48,CM,,,,6,12,,
49,CN,,,,35,105,,
50,CO,,,,4,-72,,
51,CR,,,,10,-84,,
52,CU,,,,21.5,-80,,
53,CV,,,,16,-24,,
54,CX,,,,-10.5,105.6667,,
55,CY,,,,35,33,,
56,CZ,,,,49.75,15.5,,
57,DE,,,,51,9,,
58,DJ,,,,11.5,43,,
59,DK,,,,56,10,,
60,DM,,,,15.4167,-61.3333,,
61,DO,,,,19,-70.6667,,
62,DZ,,,,28,3,,
63,EC,,,,-2,-77.5,,
64,EE,,,,59,26,,
65,EG,,,,27,30,,
66,EH,,,,24.5,-13,,
67,ER,,,,15,39,,
68,ES,,,,40,-4,,
69,ET,,,,8,38,,
70,FI,,,,64,26,,
71,FJ,,,,-18,175,,
72,FK,,,,-51.75,-59,,
73,FM,,,,6.9167,158.25,,
74,FO,,,,62,-7,,
75,FR,,,,46,2,,
76,GA,,,,-1,11.75,,
77,GB,,,,54,-2,,
78,GD,,,,12.1167,-61.6667,,
79,GE,,,,42,43.5,,
80,GF,,,,4,-53,,
81,GH,,,,8,-2,,
82,GI,,,,36.1833,-5.3667,,
83,GL,,,,72,-40,,
84,GM,,,,13.4667,-16.5667,,
85,GN,,,,11,-10,,
86,GP,,,,16.25,-61.5833,,
87,GQ,,,,2,10,,
88,GR,,,,39,22,,
89,GS,,,,-54.5,-37,,
90,GT,,,,15.5,-90.25,,
91,GU,,,,13.4667,144.7833,,
92,GW,,,,12,-15,,
93,GY,,,,5,-59,,
94,HK,,,,22.25,114.1667,,
95,HM,,,,-53.1,72.5167,,
